asset_name,category,collection,scale_meters,poly_count,vertex_count,material_count,texture_status,export_fbx_path,export_glb_path,quality_status,notes
PROP_Bench_A,Vehicles_Props,VEHICLES_Props_Final,1.80x1.02x1.05,21940,0,1,"Imported Sketchfab CC-BY (ahmagh2e); textures capped 1024; embedded",01_Exports_FBX/Vehicles_Props/PROP_Bench_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Bench_A.glb,PENDING_USER_REVIEW,"Park/street bench. CC-BY attribution required (Notes/ATTRIBUTION.md). Ground-center pivot."
WALL_ConcreteBarrier_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,2.00x0.58x0.90,92,0,1,"Constant PBR concrete (procedural bump) - exports as factor",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_ConcreteBarrier_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_ConcreteBarrier_A.glb,PENDING_USER_REVIEW,"Jersey-profile concrete barrier (2m). 100% original. Ground-center pivot, modular."
GDR_PropagandaBoard_A,GDR_Socialist_Symbols,GDR_Symbols_Final,3.20x0.37x3.05,10692,0,5,"Constant PBR (red board/gold border/white text/posts/concrete) - factor export",01_Exports_FBX/GDR_Socialist_Symbols/GDR_PropagandaBoard_A.fbx,02_Exports_GLB/GDR_Socialist_Symbols/GDR_PropagandaBoard_A.glb,PENDING_USER_REVIEW,"GDR propaganda board: red panel, gold border, slogan VORWAERTS ZUM SOZIALISMUS (Arial Bold extruded text), steel posts, concrete footings. 100% original. Ground-center pivot."
WALL_Kolonnenweg_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,2.40x4.00x0.16,420,0,3,"Constant PBR (concrete tracks, dark holes, earth) - factor export",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Kolonnenweg_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Kolonnenweg_A.glb,PENDING_USER_REVIEW,"GDR Kolonnenweg patrol road (two perforated concrete tracks on earth, modular 4m). 100% original. Ground-center pivot."
WALL_DeathStrip_Ground_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,4.00x4.00x0.03,12800,0,1,"Constant PBR sand + real raked ridge geometry; factor export",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_DeathStrip_Ground_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_DeathStrip_Ground_A.glb,PENDING_USER_REVIEW,"Death strip (Todesstreifen) raked sand ground tile, 4x4m modular, real rake ridge geometry. 100% original. Ground-center pivot."
WALL_Hinterlandmauer_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,1.24x0.49x3.10,132,0,1,"Constant PBR concrete (procedural bump); factor export",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Hinterlandmauer_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Hinterlandmauer_A.glb,PENDING_USER_REVIEW,"Hinterlandmauer (inner wall) plain concrete slab segment, flat cap + base foot, modular 1.2m. 100% original. Ground-center pivot."
PROP_TrashBin_A,Vehicles_Props,VEHICLES_Props_Final,0.95x0.65x0.74,5568,0,1,"Imported Sketchfab CC-BY (ahmagh2e); textures capped 1024; embedded",01_Exports_FBX/Vehicles_Props/PROP_TrashBin_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_TrashBin_A.glb,PENDING_USER_REVIEW,"Public street trash bin (double). CC-BY attribution required (Notes/ATTRIBUTION.md). Ground-center pivot."
PROP_TrafficSign_A,Vehicles_Props,VEHICLES_Props_Final,0.84x0.20x2.50,1180,0,4,"Constant PBR (pole/red/white/blue) - factor export",01_Exports_FBX/Vehicles_Props/PROP_TrafficSign_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_TrafficSign_A.glb,PENDING_USER_REVIEW,"Street/traffic sign (round sign + blue street-name plate on pole). 100% original. Ground-center pivot."
ROAD_Asphalt_Straight_A,Roads_Sidewalks,ROADS_Sidewalks_Final,7.00x8.00x0.07,96,0,2,"Constant PBR asphalt + white markings (procedural bump); factor export",01_Exports_FBX/Roads_Sidewalks/ROAD_Asphalt_Straight_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_Asphalt_Straight_A.glb,PENDING_USER_REVIEW,"Straight asphalt road tile (7x8m, dashed centre + edge lines, modular). 100% original. Ground-center pivot."
LANDMARK_BrandenburgGate_A,Landmarks,LANDMARKS_Final,65.0x31.4x29.0,390218,0,11,"Imported CC-BY (Resinnnn); textures embedded",01_Exports_FBX/Landmarks/LANDMARK_BrandenburgGate_A.fbx,02_Exports_GLB/Landmarks/LANDMARK_BrandenburgGate_A.glb,PENDING_USER_REVIEW,"Brandenburg Gate w/ quadriga + colonnade wings (benchmark landmark). CC-BY attribution. Ground-center pivot."
LANDMARK_Fernsehturm_A,Landmarks,LANDMARKS_Final,33.4x33.4x368.0,3236,0,5,"Modeled constant PBR",01_Exports_FBX/Landmarks/LANDMARK_Fernsehturm_A.fbx,02_Exports_GLB/Landmarks/LANDMARK_Fernsehturm_A.glb,PENDING_USER_REVIEW,"Berlin TV Tower Fernsehturm 368m. 100% original model (Sketchfab import was broken/disassembled). Concrete shaft + steel sphere + red/white antenna. Ground pivot."
EB_ApartmentBlock_A,East_Berlin_Architecture,EAST_Architecture_Final,32.0x19.1x21.5,22027,0,1,"Imported CC-BY (dimmeyster); textures 2048; embedded",01_Exports_FBX/East_Berlin_Architecture/EB_ApartmentBlock_A.fbx,02_Exports_GLB/East_Berlin_Architecture/EB_ApartmentBlock_A.glb,PENDING_USER_REVIEW,"Socialist-era residential block (brick, balconies, archway). East Berlin. CC-BY attribution. Ground pivot."
WB_ResidentialBuilding_A,West_Berlin_Architecture,WEST_Architecture_Final,22.0x13.0x16.2,276674,0,5,"Imported CC-BY (andrej.grave); textures capped 1024; GLB 30MB; embedded",01_Exports_FBX/West_Berlin_Architecture/WB_ResidentialBuilding_A.fbx,02_Exports_GLB/West_Berlin_Architecture/WB_ResidentialBuilding_A.glb,PENDING_USER_REVIEW,"Detailed worn apartment building (balconies, AC, pipes, staircase). West Berlin residential. CC-BY attribution. Ground pivot."
PROP_UtilityPole_A,Vehicles_Props,VEHICLES_Props_Final,1.80x0.53x8.10,2156,0,3,"Constant PBR (wood/ceramic/metal); factor export",01_Exports_FBX/Vehicles_Props/PROP_UtilityPole_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_UtilityPole_A.glb,PENDING_USER_REVIEW,"Wooden telegraph/utility pole (crossarms, insulators, transformer). 100% original. Ground pivot."
WALL_Floodlight_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,1.40x0.60x8.18,1920,0,4,"Constant PBR + emissive lamps; factor export",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Floodlight_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Floodlight_A.glb,PENDING_USER_REVIEW,"Border floodlight mast (4 emissive fixtures, ladder, footing). 100% original. Ground pivot."
GDR_Flag_A,GDR_Socialist_Symbols,GDR_Symbols_Final,2.32x0.27x6.12,1152,0,5,"Constant PBR tricolor + simplified emblem; factor export",01_Exports_FBX/GDR_Socialist_Symbols/GDR_Flag_A.fbx,02_Exports_GLB/GDR_Socialist_Symbols/GDR_Flag_A.glb,PENDING_USER_REVIEW,"GDR flag (black-red-gold waving) on pole. Emblem simplified (full hammer-compass-wreath needs texture). 100% original. Ground pivot."
WALL_Graffiti_Segment_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,2.53x1.95x3.59,37794,0,1,"Imported CC-BY (khem_ib) photoscan; textures 2048; embedded",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Graffiti_Segment_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Graffiti_Segment_A.glb,PENDING_USER_REVIEW,"Real graffitied Berlin Wall segment (CHANGE YOUR LIFE, IWM London photoscan). Paving trimmed. Graffiti faces -Y. CC-BY attribution. Ground pivot."
PROP_TrafficLight_A,Vehicles_Props,VEHICLES_Props_Final,0.30x0.40x3.80,1592,0,4,"Constant PBR + emissive red/green lenses; factor export",01_Exports_FBX/Vehicles_Props/PROP_TrafficLight_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_TrafficLight_A.glb,PENDING_USER_REVIEW,"Traffic signal (3 lenses red/amber/green + visors, pole). 100% original. Ground pivot."
ROAD_Curb_Sidewalk_A,Roads_Sidewalks,ROADS_Sidewalks_Final,4.01x2.80x0.30,2236,0,1,"Baked 2K PBR (PolyHaven concrete_floor_02); embedded; single material",01_Exports_FBX/Roads_Sidewalks/ROAD_Curb_Sidewalk_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_Curb_Sidewalk_A.glb,PENDING_USER_REVIEW,"Curb + sidewalk paver module (gutter, curb stone, paving slab grid). Modular 4m. Real concrete baked. 100% original geometry. Ground pivot."
GDR_SovietMemorial_A,GDR_Socialist_Symbols,GDR_Symbols_Final,5.50x2.42x4.56,474802,0,1,"Imported CC-BY (noe-3d.at) photoscan; textures 1024; embedded",01_Exports_FBX/GDR_Socialist_Symbols/GDR_SovietMemorial_A.fbx,02_Exports_GLB/GDR_Socialist_Symbols/GDR_SovietMemorial_A.glb,PENDING_USER_REVIEW,"Soviet war memorial (Russendenkmal: concrete star + red star/hammer-sickle + Cyrillic inscription + pillars). Upright/official. CC-BY attribution. Ground pivot."
PROP_Mailbox_A,Vehicles_Props,VEHICLES_Props_Final,0.44x0.32x1.61,804,0,3,"Constant PBR (yellow/dark/post); factor export",01_Exports_FBX/Vehicles_Props/PROP_Mailbox_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Mailbox_A.glb,PENDING_USER_REVIEW,"West Berlin Bundespost yellow mailbox (domed top, slot, post). 100% original. Ground pivot."
PROP_PhoneBooth_A,Vehicles_Props,VEHICLES_Props_Final,1.02x1.04x2.48,6428,0,4,"Constant PBR yellow + transparent glass + extruded FERNSPRECHER text; factor export",01_Exports_FBX/Vehicles_Props/PROP_PhoneBooth_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_PhoneBooth_A.glb,PENDING_USER_REVIEW,"West German Bundespost yellow phone booth (Telefonzelle TeH78 style): yellow frame, glass panels, FERNSPRECHER sign, door, interior phone unit. Historically accurate (NOT British red). 100% original. Ground pivot."
PROP_Kiosk_A,Vehicles_Props,VEHICLES_Props_Final,1.96x1.78x2.75,660,0,6,"Constant PBR (green/cream/wood/glass/sign); factor export",01_Exports_FBX/Vehicles_Props/PROP_Kiosk_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Kiosk_A.glb,PENDING_USER_REVIEW,"Berlin street kiosk/Trinkhalle (serving counter window, wood shelf, sign band, roof, vent). 100% original. Ground pivot."
PROP_Bollard_A,Vehicles_Props,VEHICLES_Props_Final,0.30x0.30x0.92,668,0,1,"Constant PBR cast iron; factor export",01_Exports_FBX/Vehicles_Props/PROP_Bollard_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Bollard_A.glb,PENDING_USER_REVIEW,"Cast-iron street bollard/Poller (base flange, tapered shaft, ring band, ball top). 100% original. Modular. Ground pivot."
WB_Storefront_Module_A,West_Berlin_Architecture,WEST_Architecture_Final,4.05x1.55x3.60,3536,0,7,"Constant PBR (plaster/wood/glass/striped awning/sign/gold text); factor export",01_Exports_FBX/West_Berlin_Architecture/WB_Storefront_Module_A.fbx,02_Exports_GLB/West_Berlin_Architecture/WB_Storefront_Module_A.glb,PENDING_USER_REVIEW,"West Berlin ground-floor storefront module: striped awning, shop windows + mullions, wood bulkhead, door, pilasters, green fascia with gold LEBENSMITTEL sign. Modular 4m. Front faces -Y. 100% original. Ground pivot."
PROP_CafeSet_A,Vehicles_Props,VEHICLES_Props_Final,1.16x1.60x0.87,1088,0,2,"Constant PBR (green metal + tabletop); factor export",01_Exports_FBX/Vehicles_Props/PROP_CafeSet_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_CafeSet_A.glb,PENDING_USER_REVIEW,"Sidewalk cafe set: round bistro table + 3 chairs (thin metal frames). 100% original. Ground pivot."
ROAD_Crosswalk_A,Roads_Sidewalks,ROADS_Sidewalks_Final,5.85x4.00x0.02,84,0,1,"Constant PBR white paint (worn bump); factor export",01_Exports_FBX/Roads_Sidewalks/ROAD_Crosswalk_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_Crosswalk_A.glb,PENDING_USER_REVIEW,"Zebra crosswalk decal (7 stripes, thin raised geometry to overlay road). 100% original. Ground pivot."
WB_Balcony_Module_A,West_Berlin_Architecture,WEST_Architecture_Final,2.60x1.30x1.65,1256,0,2,"Constant PBR (stone slab + dark iron railing); factor export",01_Exports_FBX/West_Berlin_Architecture/WB_Balcony_Module_A.fbx,02_Exports_GLB/West_Berlin_Architecture/WB_Balcony_Module_A.glb,PENDING_USER_REVIEW,"Altbau balcony module: stone slab, corbels, iron railing with balusters (front+sides). Wall-mount strip at back. 100% original. Ground pivot."
WB_Window_Module_A,West_Berlin_Architecture,WEST_Architecture_Final,1.40x0.47x2.40,792,0,3,"Constant PBR (plaster/wood/glass); factor export",01_Exports_FBX/West_Berlin_Architecture/WB_Window_Module_A.fbx,02_Exports_GLB/West_Berlin_Architecture/WB_Window_Module_A.glb,PENDING_USER_REVIEW,"Altbau ornate window module: 6-pane window, wood frame/mullions, projecting sill, stucco architrave surround, cornice + keystone. Modular. 100% original. Ground pivot."
PROP_RooftopAntenna_A,Vehicles_Props,VEHICLES_Props_Final,1.27x1.10x2.03,652,0,2,"Constant PBR metal; factor export",01_Exports_FBX/Vehicles_Props/PROP_RooftopAntenna_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_RooftopAntenna_A.glb,PENDING_USER_REVIEW,"Rooftop satellite dish (aimed west) + Yagi TV aerial on tripod mast. East Berlin rooftop detail. 100% original. Ground pivot."
LANDMARK_Fountain_A,Landmarks,LANDMARKS_Final,3.40x3.40x2.01,1704,0,2,"Constant PBR (stone + translucent water); factor export",01_Exports_FBX/Landmarks/LANDMARK_Fountain_A.fbx,02_Exports_GLB/Landmarks/LANDMARK_Fountain_A.glb,PENDING_USER_REVIEW,"Plaza fountain: lower basin + central pedestal + upper bowl + finial, with water surfaces. 100% original. Ground pivot."
GDR_StateEmblem_A,GDR_Socialist_Symbols,GDR_Symbols_Final,1.12x0.32x3.11,1116,0,3,"Constant PBR (gold/bronze/post metal); factor export",01_Exports_FBX/GDR_Socialist_Symbols/GDR_StateEmblem_A.fbx,02_Exports_GLB/GDR_Socialist_Symbols/GDR_StateEmblem_A.glb,PENDING_USER_REVIEW,"GDR state emblem (Staatswappen): hammer + compass + grain-wreath ring on disc, on post. Simplified. 100% original. Ground pivot."
PROP_Tree_A,Vehicles_Props,VEHICLES_Props_Final,6.0x6.1x8.0,12533,0,4,"Imported CC-BY (atrodler); textures capped 1024; embedded",01_Exports_FBX/Vehicles_Props/PROP_Tree_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Tree_A.glb,PENDING_USER_REVIEW,"Street maple tree (8m). CC-BY attribution (Notes/ATTRIBUTION.md). Ground pivot."
ROAD_ManholeCover_A,Roads_Sidewalks,ROADS_Sidewalks_Final,0.72x0.72x0.07,1500,0,1,"Constant PBR cast iron; factor export",01_Exports_FBX/Roads_Sidewalks/ROAD_ManholeCover_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_ManholeCover_A.glb,PENDING_USER_REVIEW,"Cast-iron manhole cover + frame, radial rib pattern. 100% original. Ground pivot."
PROP_TrafficCone_A,Vehicles_Props,VEHICLES_Props_Final,0.32x0.32x0.52,316,0,3,"Constant PBR (orange/white/base); factor export",01_Exports_FBX/Vehicles_Props/PROP_TrafficCone_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_TrafficCone_A.glb,PENDING_USER_REVIEW,"Traffic cone (orange + white reflective band, square base). 100% original. Ground pivot."
PROP_Planter_A,Vehicles_Props,VEHICLES_Props_Final,1.20x0.44x0.84,384,0,3,"Constant PBR (concrete/soil/foliage); factor export",01_Exports_FBX/Vehicles_Props/PROP_Planter_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Planter_A.glb,PENDING_USER_REVIEW,"Concrete street planter with soil + 3 shrubs. 100% original. Ground pivot."
PROP_Fence_A,Vehicles_Props,VEHICLES_Props_Final,2.60x0.10x1.60,1168,0,1,"Constant PBR dark metal; factor export",01_Exports_FBX/Vehicles_Props/PROP_Fence_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Fence_A.glb,PENDING_USER_REVIEW,"Wrought-iron railing fence section (posts, rails, spear-tip bars). Modular 2.5m. 100% original. Ground pivot."
WB_Door_Module_A,West_Berlin_Architecture,WEST_Architecture_Final,1.80x0.46x3.20,296,0,5,"Constant PBR (plaster/wood/glass/stone/metal); factor export",01_Exports_FBX/West_Berlin_Architecture/WB_Door_Module_A.fbx,02_Exports_GLB/West_Berlin_Architecture/WB_Door_Module_A.glb,PENDING_USER_REVIEW,"Altbau entrance door module: double wood door, panels, handles, transom fanlight, architrave surround + cornice, stone steps. Modular. 100% original. Ground pivot."
PROP_Chimney_A,Vehicles_Props,VEHICLES_Props_Final,0.74x0.66x1.59,212,0,3,"Constant PBR (brick/cap/terracotta); factor export",01_Exports_FBX/Vehicles_Props/PROP_Chimney_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Chimney_A.glb,PENDING_USER_REVIEW,"Rooftop brick chimney stack + concrete cap + 2 terracotta pots. 100% original. Ground pivot."
PROP_OilBarrel_A,Vehicles_Props,VEHICLES_Props_Final,0.61x0.61x0.88,460,0,1,"Constant PBR rusty metal; factor export",01_Exports_FBX/Vehicles_Props/PROP_OilBarrel_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_OilBarrel_A.glb,PENDING_USER_REVIEW,"Rusty 200L oil drum/barrel with rolling hoops. 100% original. Ground pivot."
CP_GuardPost_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,1.46x1.46x2.43,143,189,6,"Constant PBR (painted body/red trim/steel posts/concrete) + transparent glass; factor export",01_Exports_FBX/Checkpoint_Charlie/CP_GuardPost_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_GuardPost_A.glb,PENDING_USER_REVIEW,"One-man border sentry box/guard post: glazed upper cabin (3 sides) + central mullions, pitched hip roof with eave overhang + finial, red trim band, white lower panels, front counter shelf, steel corner posts, concrete base. Modular. 100% original. Ground pivot."
CP_Flagpole_US_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,2.02x0.52x8.31,900,0,4,"US flag = numpy-generated image texture (13 stripes + 50-star canton) embedded; pole/truck/base constant PBR; factor+image export",01_Exports_FBX/Checkpoint_Charlie/CP_Flagpole_US_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_Flagpole_US_A.glb,PENDING_USER_REVIEW,"US flagpole for Allied checkpoint: 8m tapered aluminium pole, gold truck/ball finial, concrete base, waving US flag (procedural 420x221 texture, stars simplified to dots). Front faces -Y. 100% original (no third-party). Ground pivot."
CP_LaneStripes_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,3.20x4.00x0.02,52,0,2,"Constant PBR (worn white + caution-yellow paint); thin raised decal geometry; factor export",01_Exports_FBX/Checkpoint_Charlie/CP_LaneStripes_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_LaneStripes_A.glb,PENDING_USER_REVIEW,"Checkpoint inspection-lane road markings (decal overlay): two white lane-edge lines, thick white stop line, yellow dashed centre guide, forward arrow. Thin raised geometry to overlay road tiles. Modular ~4m. 100% original. Ground pivot."
PROP_Bicycle_A,Vehicles_Props,VEHICLES_Props_Final,1.52x0.49x0.86,49483,0,7,"Imported Sketchfab CC-BY (vlad.neko); textures capped 1024; embedded",01_Exports_FBX/Vehicles_Props/PROP_Bicycle_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Bicycle_A.glb,PENDING_USER_REVIEW,"Vintage red city bicycle (rear rack, leather saddle, fenders, chrome bars, spoked wheels). Atmospheric Berlin street prop. CC-BY attribution required (Notes/ATTRIBUTION.md). Ground pivot."
PROP_LitfassColumn_A,Vehicles_Props,VEHICLES_Props_Final,1.40x1.40x3.45,688,0,4,"Posters = numpy-generated wrap texture (15-poster collage) embedded; base/roof/finial constant PBR; image+factor export",01_Exports_FBX/Vehicles_Props/PROP_LitfassColumn_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_LitfassColumn_A.glb,PENDING_USER_REVIEW,"Berlin Litfass advertising column (Litfasssaeule): cast-iron base, cylindrical shaft wrapped with colourful posters (procedural texture, some peeled), cornice ring, green-patina conical roof, gold finial. Iconic Berlin street furniture. 100% original. Ground pivot."
ROAD_Intersection_A,Roads_Sidewalks,ROADS_Sidewalks_Final,8.00x8.00x0.08,78,0,2,"Constant PBR asphalt (procedural noise bump) + white markings; factor export",01_Exports_FBX/Roads_Sidewalks/ROAD_Intersection_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_Intersection_A.glb,PENDING_USER_REVIEW,"4-way asphalt intersection tile (8x8m): four right-lane stop lines + centreline dash stubs from each approach. Tiles with ROAD_Asphalt_Straight_A. 100% original. Ground pivot."
WALL_Corner_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,1.51x1.51x3.52,580,0,2,"Constant PBR concrete (procedural noise bump) + pipe; factor export",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Corner_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Corner_A.glb,PENDING_USER_REVIEW,"Grenzmauer-75 Berlin Wall 90-degree corner segment: two 1.26m arms at right angle, rounded sewer-pipe top tube on each + corner joint, L-foot base plinths. Matches WALL_Segment_3p6m_A profile (3.5m). Corner pivot at origin. 100% original."
ROAD_TJunction_A,Roads_Sidewalks,ROADS_Sidewalks_Final,8.00x8.00x0.08,90,0,2,"Constant PBR asphalt (procedural noise bump) + white markings; factor export",01_Exports_FBX/Roads_Sidewalks/ROAD_TJunction_A.fbx,02_Exports_GLB/Roads_Sidewalks/ROAD_TJunction_A.glb,PENDING_USER_REVIEW,"T-junction asphalt tile (8x8m): main-road dashed centreline (full width) + side-road branch centreline (+Y) + stop line at side-road mouth + edge lines. Tiles with ROAD_Asphalt_Straight_A / ROAD_Intersection_A. 100% original. Ground pivot."
